,Content,Video title,Video publish time,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
0,Total,,,1518192.0,99311.4246,22492.0,16821579,3.86
1,Y5atyJbVsAU,Build Your Own AI Assistant Part 1 - Creating the Assistant,"Apr 19, 2021",91889.0,6616.7672,2195.0,826307,4.26
2,KPfBOGjJdqE,Control Arduino with  Python using Firmata / PyFirmata,"Aug 2, 2021",71997.0,4369.5056,923.0,714523,6.25
3,0sPPxIq4hg8,Build your own web server using a Raspberry Pi Pico W using Phew!,"Aug 29, 2022",39859.0,5724.766,590.0,551561,3.66
4,hiVcgUdjy0A,"Node-Red Automation, MQTT, NodeMCU & MicroPython","Mar 29, 2021",32772.0,4731.7602,557.0,478008,3.75
5,VFC4XTRUNYk,Raspberry Pi Pico Wifi Module - how to add Wifi to your Pico Projects,"Aug 11, 2021",32433.0,1163.3378,275.0,186422,8.03
6, -BObt8inVs8,"How to Map with LiDAR - using a Raspberry Pi Zero 2W, RPLidar and Rviz","Mar 14, 2022",29420.0,1680.5497,407.0,217807,5.89
7,fmgQ8Dcg9uM,Install MicroPython on ESP8266 & ESP32,"May 26, 2021",24447.0,706.8925,167.0,159620,8.61
8,1VhmBdHHU0I,Just don’t make it angry,"Nov 7, 2022",20779.0,69.6025,53.0,9360,3.3
9,o8Cvr9nuccs,Raspberry Pi 4 & VS Code,"Feb 12, 2021",20592.0,939.0703,153.0,115094,8.88
10,436VDF-rk4w,ESP32CAM for Robotics - MicroPython and SMARS,"Sep 3, 2021",20435.0,1037.1407,171.0,172021,5.69
11,PdYxop5aa2E,Raspberry Pi Pico and the nRF24L01 radio module - how to get this working with MicroPython,"Aug 26, 2021",20369.0,884.3123,180.0,113205,6.56
12,QeDnjcdGrpY,"Micropython Threads - Use Both Cores, on Raspberry Pi Pico and ESP32","Dec 13, 2021",19476.0,2830.9895,344.0,301645,2.93
13,A7ZJ5TC-zUk,Moving from Arduino to MicroPython - 10 Things you need to know.,"Jun 24, 2021",18831.0,1478.1539,208.0,242395,5.32
14,x4nE1o5JsSg,Visual Studio Code setup for Raspberry Pi Pico,"May 24, 2021",18333.0,631.0116,81.0,102536,9.68
15,OIqkmgOY_Ws,Installing ROS on a Raspberry Pi 4/400,"Oct 25, 2021",15935.0,1193.1044,238.0,122524,5.67
16,ZWTEO--0TWc,Raspberry Pi Pico W - the new Raspberry Pi Pico with Wifi,"Jun 30, 2022",15413.0,1013.9879,332.0,206726,4.02
17,x5guwxSoNcE,Build Your Own AI Assistant Part 2 - To Do lists!,"Jun 18, 2021",14893.0,555.2691,105.0,130426,7.17
18,F5Bq7HVJkX0,How to use an Xbox Controller with your Robot,"Mar 21, 2022",14532.0,613.6165,109.0,94781,7.94
19,N3jwEVbZyXY,LEARNING PYTHON - INTRODUCTION - for Raspberry Pi Python Robots,"Jul 27, 2020",14317.0,1058.4299,268.0,49694,8.12
20,LwKOvT7rCiU,Raspberry Pi Zero Thermal Printer fun project,"Jul 29, 2021",14012.0,527.0986,50.0,84174,7.45
21,4BEjKUK8DSQ,Is the Raspberry Pi High-Quality Camera worth it? & Build your own Camera,"Aug 22, 2022",13547.0,831.2553,147.0,46836,3.96
22,iIdoXzcuV2Q,Home Automation with Python and Home Assistant,"Jun 27, 2022",12668.0,1167.6054,140.0,85059,6.4
23,nW5FUVzYCKM,Inverse Kinematics in Python and MicroPython,"Sep 20, 2021",12493.0,1000.5724,276.0,98061,4.97
